index,date,country,province,confirmed,deaths,recovered
0,2020-01-22,Afghanistan,Not defined,0.0,0.0,0.0
1,2020-01-23,Afghanistan,Not defined,0.0,0.0,0.0
2,2020-01-24,Afghanistan,Not defined,0.0,0.0,0.0
3,2020-01-25,Afghanistan,Not defined,0.0,0.0,0.0
4,2020-01-26,Afghanistan,Not defined,0.0,0.0,0.0
5,2020-01-27,Afghanistan,Not defined,0.0,0.0,0.0
6,2020-01-28,Afghanistan,Not defined,0.0,0.0,0.0
7,2020-01-29,Afghanistan,Not defined,0.0,0.0,0.0
8,2020-01-30,Afghanistan,Not defined,0.0,0.0,0.0
9,2020-01-31,Afghanistan,Not defined,0.0,0.0,0.0
10,2020-02-01,Afghanistan,Not defined,0.0,0.0,0.0
11,2020-02-02,Afghanistan,Not defined,0.0,0.0,0.0
12,2020-02-03,Afghanistan,Not defined,0.0,0.0,0.0
13,2020-02-04,Afghanistan,Not defined,0.0,0.0,0.0
14,2020-02-05,Afghanistan,Not defined,0.0,0.0,0.0
15,2020-02-06,Afghanistan,Not defined,0.0,0.0,0.0
16,2020-02-07,Afghanistan,Not defined,0.0,0.0,0.0
17,2020-02-08,Afghanistan,Not defined,0.0,0.0,0.0
18,2020-02-09,Afghanistan,Not defined,0.0,0.0,0.0
19,2020-02-10,Afghanistan,Not defined,0.0,0.0,0.0
20,2020-02-11,Afghanistan,Not defined,0.0,0.0,0.0
21,2020-02-12,Afghanistan,Not defined,0.0,0.0,0.0
22,2020-02-13,Afghanistan,Not defined,0.0,0.0,0.0
23,2020-02-14,Afghanistan,Not defined,0.0,0.0,0.0
24,2020-02-15,Afghanistan,Not defined,0.0,0.0,0.0
25,2020-02-16,Afghanistan,Not defined,0.0,0.0,0.0
26,2020-02-17,Afghanistan,Not defined,0.0,0.0,0.0
27,2020-02-18,Afghanistan,Not defined,0.0,0.0,0.0
28,2020-02-19,Afghanistan,Not defined,0.0,0.0,0.0
29,2020-02-20,Afghanistan,Not defined,0.0,0.0,0.0
30,2020-02-21,Afghanistan,Not defined,0.0,0.0,0.0
31,2020-02-22,Afghanistan,Not defined,0.0,0.0,0.0
32,2020-02-23,Afghanistan,Not defined,0.0,0.0,0.0
33,2020-02-24,Afghanistan,Not defined,1.0,0.0,0.0
34,2020-02-25,Afghanistan,Not defined,0.0,0.0,0.0
35,2020-02-26,Afghanistan,Not defined,0.0,0.0,0.0
36,2020-02-27,Afghanistan,Not defined,0.0,0.0,0.0
37,2020-02-28,Afghanistan,Not defined,0.0,0.0,0.0
38,2020-02-29,Afghanistan,Not defined,0.0,0.0,0.0
39,2020-03-01,Afghanistan,Not defined,0.0,0.0,0.0
40,2020-03-02,Afghanistan,Not defined,0.0,0.0,0.0
41,2020-03-03,Afghanistan,Not defined,0.0,0.0,0.0
42,2020-03-04,Afghanistan,Not defined,0.0,0.0,0.0
43,2020-03-05,Afghanistan,Not defined,0.0,0.0,0.0
44,2020-03-06,Afghanistan,Not defined,0.0,0.0,0.0
